duplicate_check,id,pack_id,pack_type,group_id,group_rate,group_roll_times,item_id,item_name,check,quantity,weight,is_shown,start_date,end_date
o,1,chapter-01-01,random,1,100,1,moonshard,Moon Shard,,250,100,TRUE
o,2,chapter-01-02,random,1,100,1,moonshard,Moon Shard,,750,100,TRUE
o,3,chapter-01-03,random,1,100,1,moonshard,Moon Shard,,1500,100,TRUE
o,4,level_2,random,1,100,1,moonshard,Moon Shard,,250,100,TRUE
o,5,level_above_2,random,1,100,1,moonshard,Moon Shard,,500,100,TRUE
o,6,first_reward_big_node_1,random,1,100,1,exp,Exp,,10,100,TRUE
o,7,tutorial_reward_1,random,1,100,1,exp,Exp,,10,100,TRUE
o,8,tutorial_reward_1,random,2,100,1,rune_neutral_utility_1,Leftover Potion,,1,100,TRUE
o,9,tutorial_reward_2,random,1,100,1,exp,Exp,,10,100,TRUE
o,10,tutorial_reward_2,random,2,100,1,ecard_neutral_1001,Charm of Vitality I,,1,100,TRUE
o,11,tutorial_reward_2,random,3,100,1,ecard_neutral_1002,Charm of Power I,,1,100,TRUE
o,12,tutorial_reward_3,random,1,100,1,exp,Exp,,10,100,TRUE
o,13,tutorial_reward_3,random,2,100,1,axie_ena,Ena,,1,100,TRUE
o,14,first_reward_small_node,random,1,100,1,exp,Exp,,10,100,TRUE
o,15,first_reward_small_node,random,2,100,1,moonshard,Moon Shard,,100,100,TRUE
o,16,tutorial_reward_4,random,1,100,1,exp,Exp,,10,100,TRUE
o,17,tutorial_reward_4,random,2,100,1,moonshard,Moon Shard,,250,100,TRUE
o,18,first_reward_big_node_2,random,1,100,1,exp,Exp,,30,100,TRUE
o,19,first_reward_big_node_2,random,2,100,1,ecard_neutral_1003,Charm of Focus I,,1,100,TRUE
o,20,first_reward_big_node_2,random,3,100,1,ecard_neutral_1004,Charm of Endurance I,,1,100,TRUE
o,21,first_reward_big_node_3,random,1,100,1,exp,Exp,,10,100,TRUE
o,22,first_reward_big_node_3,random,2,100,1,moonshard,Moon Shard,,100,100,TRUE
o,23,first_reward_big_node_4,random,1,100,1,exp,Exp,,10,100,TRUE
o,24,first_reward_big_node_4,random,2,100,1,ecard_plant_0001,White Sage,,1,100,TRUE
o,25,first_reward_big_node_5,random,1,100,1,exp,Exp,,10,100,TRUE
o,26,first_reward_big_node_5,random,2,100,1,moonshard,Moon Shard,,250,100,TRUE
o,27,first_reward_big_node_6,random,1,100,1,exp,Exp,,10,100,TRUE
o,28,first_reward_big_node_6,random,2,100,1,axie_tripp,Tripp,,1,100,TRUE
o,29,replay_reward,random,1,100,1,exp,Exp,,1,100,TRUE
o,30,ronin_reward,random,1,100,30,exp,Exp,,1,100,TRUE
o,31,daily_pack_001,random,1,100,1,moonshard,Moon Shard,,5,100,TRUE
o,32,daily_pack_001,random,2,100,1,gold,Gold,,1,100,TRUE
o,33,daily_pack_002,random,1,100,1,moonshard,Moon Shard,,10,100,TRUE
o,34,daily_pack_002,random,2,100,1,gold,Gold,,2,100,TRUE
o,35,weekly_pack_001,random,1,100,1,moonshard,Moon Shard,,25,100,TRUE
o,36,weekly_pack_001,random,2,100,1,gold,Gold,,5,100,TRUE
o,37,weekly_pack_002,random,1,100,1,moonshard,Moon Shard,,50,100,TRUE
o,38,weekly_pack_002,random,2,100,1,gold,Gold,,10,100,TRUE
o,39,weekly_pack_003,random,1,100,1,moonshard,Moon Shard,,100,100,TRUE
o,40,weekly_pack_003,random,2,100,1,gold,Gold,,20,100,TRUE
o,41,pvp_practice_win,random,1,100,1,exp,Exp,,1,100,TRUE
o,42,ranked_stamina_win_egg_4,random,1,100,1,moonshard,Moon Shard,,6,100,TRUE
o,43,ranked_stamina_win_egg_3,random,1,100,1,moonshard,Moon Shard,,8,100,TRUE
o,44,ranked_stamina_win_egg_2,random,1,100,1,moonshard,Moon Shard,,12,100,TRUE
o,45,ranked_stamina_win_egg_1,random,1,100,1,moonshard,Moon Shard,,14,100,TRUE
o,46,ranked_stamina_win_chick_4,random,1,100,1,moonshard,Moon Shard,,18,100,TRUE
o,47,ranked_stamina_win_chick_3,random,1,100,1,moonshard,Moon Shard,,20,100,TRUE
o,48,ranked_stamina_win_chick_2,random,1,100,1,moonshard,Moon Shard,,24,100,TRUE
o,49,ranked_stamina_win_chick_1,random,1,100,1,moonshard,Moon Shard,,26,100,TRUE
o,50,ranked_stamina_win_hare_4,random,1,100,1,moonshard,Moon Shard,,30,100,TRUE
o,51,ranked_stamina_win_hare_3,random,1,100,1,moonshard,Moon Shard,,32,100,TRUE
o,52,ranked_stamina_win_hare_2,random,1,100,1,moonshard,Moon Shard,,36,100,TRUE
o,53,ranked_stamina_win_hare_1,random,1,100,1,moonshard,Moon Shard,,38,100,TRUE
o,54,ranked_stamina_win_boar_4,random,1,100,1,moonshard,Moon Shard,,43,100,TRUE
o,55,ranked_stamina_win_boar_3,random,1,100,1,moonshard,Moon Shard,,46,100,TRUE
o,56,ranked_stamina_win_boar_2,random,1,100,1,moonshard,Moon Shard,,50,100,TRUE
o,57,ranked_stamina_win_boar_1,random,1,100,1,moonshard,Moon Shard,,52,100,TRUE
o,58,ranked_stamina_win_wolf_4,random,1,100,1,moonshard,Moon Shard,,56,100,TRUE
o,59,ranked_stamina_win_wolf_3,random,1,100,1,moonshard,Moon Shard,,58,100,TRUE
o,60,ranked_stamina_win_wolf_2,random,1,100,1,moonshard,Moon Shard,,62,100,TRUE
o,61,ranked_stamina_win_wolf_1,random,1,100,1,moonshard,Moon Shard,,65,100,TRUE
o,62,ranked_stamina_win_bear_4,random,1,100,1,moonshard,Moon Shard,,68,100,TRUE
o,63,ranked_stamina_win_bear_3,random,1,100,1,moonshard,Moon Shard,,71,100,TRUE
o,64,ranked_stamina_win_bear_2,random,1,100,1,moonshard,Moon Shard,,75,100,TRUE
o,65,ranked_stamina_win_bear_1,random,1,100,1,moonshard,Moon Shard,,77,100,TRUE
o,66,ranked_stamina_win_tiger_4,random,1,100,1,moonshard,Moon Shard,,86,100,TRUE
o,67,ranked_stamina_win_tiger_3,random,1,100,1,moonshard,Moon Shard,,89,100,TRUE
o,68,ranked_stamina_win_tiger_2,random,1,100,1,moonshard,Moon Shard,,93,100,TRUE
o,69,ranked_stamina_win_tiger_1,random,1,100,1,moonshard,Moon Shard,,95,100,TRUE
